ClavedeFonograma,Titulo,Subtítulo,Intérprete principal,Intérpretes Invitados,Intérprete articipante,Soporte físico,Editora,Número de catálogo,Ciudad de Edición,País de Edición,Año,Pistas,Observaciones
354,Mi disco,La nueva música infantil Vol.1. Canciones para niños de Ricardo García,"Coros del Colegio Nueva Era, Eugenia María Delgado, Ricardo García y Grupo Maranatha",,,LP,Discos Antares,AS-1002,"México, D.F.",México,1980,"Lado 1: 1. El soldado (R. García-R. García/E. Castillo), 2. Los niños de mi barrio (R. García), 3. La fiesta (R. García), 4. La bruja (R. García), 5. El ratón (R. García), 6. El pupú (R. García); Lado 2: 1. El cometa (R. García), 2. Achú (R. García), 3. 7 cosas (R. García), 4. La meta (R. García), 5. El deseo (R. García-R. García/J. J. Avila), 6. De regreso (R. García)","En la portada interior figuran las letras de las canciones excepto L1 6: De regreso.
Los títulos varían del marbete a la portada. Se registraron tal como aparecen en el marbete.
Editora RGO,1979."
357,Katy la oruga,,,,,LP,"CBS Columbia Internacional, S.A.",TVTCD-122,,México,1984,"Lado 1: 1. Un día volaré (S. Roche-N. Méndez), 2. La vida es una fiesta (S. Roche-N. Méndez), 3. Miel, polen y panal (S. Roche-N. Méndez), 4. Todo hay que comprar (S. Roche-N. Méndez); Lado 2: 1. Somos super (S. Roche-N. Méndez), 2. El rock de la quesoteca (S. Roche-N. Méndez), 3. Un día volaré (S. Roche-N. Méndez)",
366,Odisea Burbujas,,,,,LP,"CBS Columbia Internacional, S.A. Discos América",TCDC-0534,,México,1980,"Lado 1: 1. Odisea Burbujas (J. Castil-J. García E.), 2. El tobogán del tiempo (S. Roche-J. García E.), 3. Clik-clik (Ana Elena/Maru-J. García E.), 4. Mugre, basura y smog (S. Roche-J. García E.), 5. Popotito 22 (S. Roche-J. García Esquivel); Lado 2: 1. Un juego nada más (S. Roche-J. García E.), 2. Cuando te sientas triste (S. Roche-J. García E.), 3. La marcha de las vitaminas (S. Roche-J. García E.), 4. La regadera micromacromática (S. Roche-J. García E.), 5. Somos diferentes pero amigos de verdad (S. Roche - J. García E.), 6. Odisea Burbujas (J. Castil-J. García E.)",
367,Canciones para niños. Margarita Bauche,Vol. I,Margarita Bauche,,"José Tacher (acomp.), Wernwe Kleiner (bj)",LP,"Discos Caleidofón, S. A.",CF-87,"México, D.F.",México,s/d,"Lado A: 1. Hola Ola (M. Bauche), 2. Las resorteras (M. Bauche), 3. Viaje imaginario (M. Bauche), 4. Amor es (M. Bauche), 5. Historia de un hombre (M. Bauche); Lado B: 1. Pompas de jabón (M. Bauche), 2. Mi cuerpo (M. Bauche), 3. El rey de los tontos (M. Bauche), 4. Los cuatro elementos (M. Bauche), 5. A triunfar (M. Bauche)",Disco Estereo. Contiene un poster con las letras de las canciones.
368,Margarita Bauche canta canciones para niños Vol. II,,Margarita Bauche,,"José Tacher (gt), Jorge Reyes (fl), José Luis Romero (bt), Antonio sanchez (bj), Zózimo Hernández (bjo), Carlos Vivanco (vl), Alfredo Flores (vz), María Hill Bauche (vz), Mayita Hill Bauche (vz), Yoshua Tacher (vz), Gabriela Martínez (vz), Velia Villalpando",LP,Discos Caleidofón,CF-166,,México,1982,"Lado A: 1. Prólogo (Tacher/Reyes), 2. Tu fiel servidora (M. Bauche), 3. Melodía (M. Bauche-V. L. Ocampo), 4. El osito viajero (M. Bauche), 5. Mi amiga la oruga (M. Bauche), 6. La margarita (M. Bauche); Lado B: 1. Los niños del campo (M. Bauche), 2. Marcha rebelde (M. Bauche), 3. La rana y el sapo (M. Bauche), 4. Nuevo día (M. Bauche), 5. La guitarra (M. Bauche)",Incluye impreso separado dentro de la portada con las letras de las canciones.
397,Chespirito y sus canciones,,Chespirito,,,LP,Fontana-Polydor,LPM 10061,,México,1976,"Lado 1: 1. El Chapulín Colorado (R. Gómez B.), 2. Hermano Francisco (R. Gómez B.), 3. La juguetería (R. Gómez B.), 4. Los austronautas (R. Gómez B.), 5. La ciruela pasa (R. Gómez B.); Lado 2: 1. Payasos (R. Gómez B.), 2. Óyelo, escúchalo (R. Gómez B.), 3. La carcachita (R. Gómez B.), 4. La gallinita (R. Gómez B.), 5. Un año más (R. Gómez B.)",
399,Juan Pestañas Vol.  I,,Juan Pestañas,,,LP,Discos Coro,CLP 1010,"México, D.F.",México,s/d,"Lado A: 1. La orquesta de los animales (F. Gabilondo S.), 2. La negrita Cucurumbé (F. Gabilondo S.), 3. El ratón vaquero (F. Gabilondo S.), 4. La marcha de las canicas (F. Gabilondo S.), 5. La hora de la merienda (F. Gabilondo S.); Lado B: 1. El comal y la olla (F. Gabilondo S.), 2. El negrito bailarín (F. Gabilondo S.), 3. Caminito de la escuela (F. Gabilondo S.), 4. La muñeca fea (F. Gabilondo S.), 5. La patita (F. Gabilondo S.)",
402,Había una vez...,,Varios,,,LP,"Gamma, S.A",GX 01-1252,,México,1982,"Lado A: 1. El pequeño panda de Chapultepec (L. Gómez Llanos B.), 2. Popurri: Peter pan, Volarás, La de un pirata es la vida mejor, Lirin Liron, Su nombre es mamá, (S. Cahn-S.Fain-E. Santos-Ed. Penner-O. Wallace-), 3. Mamá dame 100 pesitos, 4. ¡Recordad a Marcelino!; Lado B: 1. Las canciones de los niños, Todos preparados, Quisiera ser tan alto como la luna, Mambrú se fue a la guerra, Vamos a contar mentiras, El patio de mi casa, Tengo una muñeca, El señor don gato, 2. Pajaritos, 3. Un ramito de flores, 4. Que lío (A. Araujo/J. Seijas)",
406,Rondas modernas,,Carmelita Molina,,,LP,Son-Art,DS-611,,México,s/d,"Lado A: 1. Ronda de los días de la semana (C. Molina), 2. Ronda de arlequín (C. Molina), 3. Ronda de los meses del año (C. Molina), 4. Ronda de las frutas (C. Molina), 5. Ronda de los ritmos (C. Molina), 6. Ronda de la gimnasia (C. Molina); Lado B: 1. Nuevas mañanitas (C. Molina), 2. La ronda de la tarea (C. Molina), 3. La  ronda de la escobita (C. Molina), 4. No estés triste mamacita (Canta Ceci Abrego) (C. Molina), 5. La ronda del payaso (C. Molina), 6. Juntos podemos (C. Molina)",
410,Vendrá mi hermanito,,Lupita Vega y los Chackaymanta,,"Fernando Montaño (bt), Carlos Muñoz Palafox (tc, bj)",LP,"Dicard, S.A",ZC-803,,México,1982,"Lado A: 1. Pronto vendrá mi hermanito (J. R. Vallejo), 2. El reino del revés (M. E. Walsh), 3. Que se vengan los niños (Ch. Inchausti), 4. Vamos al bosque (J. M. Tolosa), 5. Mambrú (), 6. A mi burro; Lado B: 7. La vaca estudiosa (M. E. Walsh), 8. El último tranvía (M. E. Walsh), 9. Los gorriones (P. Sánchez), 10. La mona Jacinta (M. E. Walsh), 11. Cuando los huaraches se acaban (E. Zaldivar)",
