ClavedeFonograma,Titulo,Subtítulo,Intérprete principal,Intérpretes Invitados,Intérprete articipante,Soporte físico,Editora,Número de catálogo,Ciudad de Edición,País de Edición,Año,Pistas,Observaciones
1222,Espíritu navideño,,[Rosa Mary y José Guardiola],,,LP,,LPVC 01,,[México],s/d,"Lado A: 1. Las ardillitas en Navidad, 2. El burrito de Belén, 3. Huesito de chabacano, 4. La balada del vagabundo, 5. Paseo en trineo, 6. Pequeño; Lado B: 1. Invierno triste, 2. El niño del tambor, 3. Un cuento, 4. Los dientes de Pánfilo, 5. Poema de Año Nuevo, 6. Feliz Navidad",
1223,Un niño es... Un canto de esperanza Vol. 2,,Silvia Tapia Alcazar (vz),,Guadalupe Segura Vda. De Rivas Torres (pn),LP,IMSS-Congreso del Trabajo,s/d,,México,1978,"Lado A: Aseo 1. Me lavo la carita (R. Fridman), 2. Baño de regadera (Lizárraga - Zapata), 3. Los niñitos limpiecitos (R. Roldán de A.). Saludo 4. Buenos días señorita (J. P. de Montalvo), 5. Buenas tardes (M. García A.), 6. Muy buenos días amigo (D. R. A.). Ruedas 7. Formemos la rueda (C. Calderón), 8. La rueda de chicos (E. N. G. de Calvo), 9. Una rueda (D. R. A.), 10. A la rueda (Música alemana), 11. Formaremos una ronda (A. Villarreal). Noción temporal, 12. Noche tranquila (D. R. A.), 13. Arriba Juan (D. R. A.), 14. A dormir (E. N. G. de Calvo); Lado B: Cantos Recreativos 1. Pío pío (R. Fridman), 2. Este gusanito (L. Alba L.), 3. La muñequita (Zapata - Padilla), 4. Palomitas (E. G. de Nyssen,), 5. ¡Oh qué bello es! (D. R. A.), 6. La villañela (Tradicional española), 7. A jugar (E. G. de Nyssen,), 8. Gotita de agua (E. Latour - E. Osorio), 9. Sapito travieso (R. R. de Alvarado), 10. Las gotitas (R. R. de Alvarado), 11. La viborita (D. R. A.), 12. El bolerito (D. R. A.), 13. Arrullo (Zapata y Peláez), 14. Con mi martillo (D. R. A.), 15. Desfile de 
instrumentos (Tradicional española), 16. El reloj (R. R. de Alvarado), 17. Zapatero remendón (Zapata - música alemana)","Producción: Francine Sarrapy Fabre. En contraportada aparece la leyenda: ""Guarderías para hijos de madres aseguradas"" y el logo del IMSS y del Congreso del Trabajo. Las pistas están agrupadas en los siguientes temas: Aseo, Saludo, Ruedas, Noción temporal y Cantos recreativos."
1224,Un niño es... Un canto de esperanza Vol. 1,,Silvia Tapia Alcazar (vz),,Guadalupe Segura Vda. De Rivas Torres (pn),LP,IMSS-Congreso del Trabajo,s/d,,México,1978,"Lado A: 1. Esquema Corporal - Tengo... tengo (E. N. G. de Calvo), 2. Esquema Corporal - Lo que tengo (A. Galera), 3. Esquema Corporal - Esta es mi cabeza (E. N. G. de Calvo), 4. Esquema Corporal - Con mis dos manitas (R. Fridman), 5. Esquema Corporal - ¿Cómo camina Cuca? (D. R. A.), 6. Esquema Corporal A jugar (E. G. de Nyssen), 7. Esquema Corporal No es un botoncito (E. S. de Schneider), 8. Esquema Corporal - Tiene mi manita (E. S. de Schneider), 9. Esquema  - Frío (R. Zapata - M. M. Ponce), 10. Esquema Corporal  Yo soy gigante (E. G. de Nyssen), 11. Esquema - De cojito (Tradicional mexicana), 12. Esquema Corporal - Así bailan los gitanos (D. R. A.), 13. Esquema Corporal - Canción para los primeros pasos (E. S. de Schneider), 14. Esquema Corporal Mi piquito (E. N. G. de Calvo); Lado B: 15. Ubicación Espacial - Voy hacia arriba (E. N. G. de Calvo), 16. Ubicación Espacial - Lugarcito (E. N. G. de Calvo), 17. Ubicación Espacial - Me gusta (E. N. G. de Calvo), 18. Ubicación Espacial - Cinco ratoncitos (D. R. A.), 19. Ubicación Espacial- Caminando (D. R. A.), 20. Ubicación Espacial- La escalerita (E. S. de Schneider), 21. Ubicación Espacial - Tambores (D. R. A.), 22. Marchas - Marcha de entrada (G. Colima), 23. Marchas- Entremos al salón (R. Roldán de A.), 24. Marchas - Zacatecas (M. García A.)","En contraportada aparece la leyenda: ""Guarderías para hijos de madres aseguradas"" y el logo del IMSS y del Congreso del Trabajo.
Las pistas están agrupadas en los siguientes temas: Esquema corporal, Ubicación espacial y Marchas."
1225,Amor es el mejor regalo,,Grillos,,,LP,MELODY,SS/6031,,México,1983,Lado A: 1. Amor es el mejor regalo (A. Rubín); Lado B: 1. Amor es el mejor regalo (Pista musical) (A. Rubín),
1226,Cantos y juegos para el Jardín de niños,,Celia Garduño Díaz Chávez,,,LP,CORITO,CI-120,,México,1970,"Lado 1: 1. Muy buenos días (L. M. Serradell - C. Calderón), 2. La gotita de agua (E. Latour - E. R. Osorio), 3. Los animalitos (C. Ramos), 4. Ayer me fui al campo (L. M. Serradell - C. Calderón), 5. Los pollitos (R. Zapata), 6. Los patitos (R. Zapata - Música popular), 7. Ama de casa (R. Zapata - P. Peláez), 8. Arrullo (R. Zapata - P. Peláez), 9. Baño de regadera (R. Zapata - Ma. de los A. Lizárraga); Lado 2: 1. La amapolita (R. Zapata - A. G. de Meza), 2. Los inditos (R. Zapata), 3. Temprano (R. Zapata), 4. A Froebel (L. M. Serradell - C. Calderón), 5. Himno a la madre (R. Zapata - M. M. Ponce), 6. Dulce hogar (H. Gonzatti), 7. Todo es ronda (G. Mistral - A. R. de F. González), 8. Dame la mano (G. Mistral - A. R. de F. González), 9. Bella ronda (R. Zapata - A. Esparza O.)",Incluye un cuadernillo con las letras de las canciones.
1227,Juegos y rondas infantiles,,Coros de Luz Bermejo,,,LP,MELODY,MEL 21,,México,s/d,"Lado A: 1. A la víbora de la mar, 2. La pájara pinta, 3. El agua clara, 4. Hilitos, hilitos de oro, 5. Los maderos de San Juan, 6. Al ánimo; Lado B: 1. Juan Pirulero, 2. Los monos en el carrusel, 3. Cuánto me das marinero, 4. El pollito conquistador, 5. El patio de mi casa, 6. El conejo, 7. Brinca la tablita","La pista 6  Lado A  aparece registrada en el fonograma de la siguiente manera: Alanimo. Se utilizó un título o nombre ""normalizado"" en el campo correspondiente a fin de hacer más claro la aparición de nombres propios y/o títulos en los índices."
1228,Temas infantiles,,Grupo Chiquilines,,,LP,SONOMEX,LPSM-688,,México,1982,"Lado A: 1. Súbete a mi moto (E. Díaz - Carlos Villa), 2. Quiero ser (E. Díaz . P. L. Soto), 3. Veo, veo (E. Rodrigo), 4. Mi amigo Félix (F. Dondiego - A. Araujo), 5. Vaya mentira (E. Aragón B. - E. Aragón A.); Lado B: 1. 1+1= A 2 Enamorados (R. Amado - J. Santos), 2. Rock en la T. V. (E. Díaz - C. Villa), 3. Si vas a París papá (L. Oropesa), 4. La canción de Parchis (P. Moraleda), 5. Lo que me gusta (Juan Gabriel)",
1229,Rondas infantiles Vol. 2,,Rondalla Chapultepec,,"Paloma Rodríguez (ad), Pablo Lezama (ad), Josefina Galindo (ad), Rosita González (pd), Guillermina Vázquez (pd), Lili Rodríguez (pd), Juan González (mn), José Luis Rodríguez (mn), Lilia Lezama (gt), Seberiano Galindo (gt), Elizabeth Manny (gt), José Yáñez",LP,Discos Chapultepec,CHE-10011,,México,1979,"Lado 1: 1. Los días de la semana, 2. Martinillo, 3. Doña Blanca, 4. El juego del calentamiento, 5. A la rorro niño; Lado 2: 1. Mambrú, 2. Las notas, 3. Hilitos, hilitos de oro, 4. Sapito, sapito, 5. Arroz con leche",
1230,Canciones infantiles,,Verónica y su coro infantil,,,LP,Discos LM,LM-537,,México,s/d,"Lado A: 1. Introducción, 2. Naranja dulce, 3. Polichinela, 4. La marcha de las letras ([F. Gabilondo S.]), 5. Amapolas y patitos; Lado B: 1. Arrepote, arrepote, 2. Cata pum chin chin, 3. La pájara pinta, 4. Arroz con leche, 5. Los días de la semana, 6. Amó, ató","La pista 6 Lado B aparece registrada en el fonograma de la siguiente manera: Amo ato. Se utilizó un título o nombre ""normalizado"" en el campo correspondiente a fin de hacer más claro la aparición de nombres propios y/o títulos en los índices."
1231,Juega cantando con las rondas de Carmelita Molina,,Carmelita Molina,,Cecilia Abrego y Ernesto Abrego,LP,KOKIN,KO-515,,México,s/d,"Lado A: 1. Buenos días amiguitos (C. Molina), 2. Chipi chipi (C. Molina), 3. La vaquita (C. Molina), 4. Las pinturas (C. Molina), 5. Gigantes y enanos (C. Molina), 6. La ronda de los oficios (C. Molina); Lado B: 1. La ronda de los ritmos (C. Molina), 2. El burrito fortachón (C. Molina), 3. Tic, tac, tic, toc (C. Molina), 4. Los cinco sentidos (C. Molina), 5. La pelota (C. Molina), 6. Los enanitos (C. Molina)",Tiene el mismo contenido que el fonograma 723.
1233,Juegos y rondas infantiles,Las voces de Kinder Garden,s/d,,,LP,Son-Art,D-56,,México,s/d,"Lado A: 1. A la rueda rueda (D. P.), 2. El puente de Avignon (D. P.), 3. Vengan a ver mi granja (D. P.), 4. La bola (D. P.), 5. Se me ha perdido una niña (D. P.), 6. Qué lindas son las aves (D. P.), 7. Bendito sea mi dulce hogar (D. P.), 8. Todas las mañanas (D. P.), 9. Yo no soy buena moza (D. P.), 10. El verde limón (D. P.); Lado B: 1. El juego de Juan Pirulero (D. P.), 2. Arroz con leche (D. P.), 3. Tengo una muñeca vestida de azul (D. P.), 4. San Selenin (D. P.), 5. Voy a abrir las puertas (D. P.), 6. La mar estaba serena (D. P.), 7. Hilos de oro, hilos de plata (D. P.), 8. Ya viene la niña (D. P.), 9. San Juan bailón (D. P.), 10. Las mañanitas del Rey David (D. P.)",Así aparece en la contraportada: 10. Amapolita morada (Las mañanitas) (D. P.)
1234,Para ti,Estancia infantil,Mariachi monumental Guardia Nacional,,,LP,ORFEÓN,s/d,,México,1979,"Lado A: 1. El niño (T. Flores), 2. El caracol (C. Avilés M.), 3. La tragedia (T. Flores), 4. Consejos (T. Flores), 5. Doy gracias (T. Flores); Lado B: 1. En la montaña (T. Flores), 2. La conquista (T. Flores - M. Molina M.), 3. Mitad tú, mitad yo (A. Cisneros - M. Molina M.), 4. Que fue de nuestro amor (T. Flores - M. Molina M.), 5. Canto a la virgen morena (M. Contreras - M. Molina M.)",Fonograma editado en celebración del Año Internacional del Niño. En la contraportada aparecen notas describiendo las características y beneficios de la Estancia Infantil para los hijos de elementos de Policía y Tránsito del D.F.
1235,Cantemos y bailemos I,Ritmos y rondas,Luz María Jiménez Gregg,,,LP,AS Discos,LP-0001,,México,1987,"Lado A: 1. Entremos al salón (M. García A.), 2. Ritmo holandés (R. R. de Alvarado), 3. Ritmo No. 1 (M. García A.), 4. Jugando en el campo (C. Calderón), 5. La bella ronda (R. Zapata / A. Esparza O.), 6. Ritmo tirolés (R. Rodgers), 7. Ritmo ruso (M. Michaus), 8. Siseando (C. Calderón), 9. Polka (M. García A.); Lado B: 1. Ritmo alemán (W. Ganz), 2. Todo es ronda (G. Mistral - A. Revueltas), 3. Dame la mano (G. Mistral - A. Revueltas), 4. Sentados en el piso (C. Calderón), 5. El bolonchón (Folklore nacional), 6. Ritmo para cuerdas (F. Burgumuller), 7. Sones veracruzanos (Folklore nacional), 8. Ronda (R. R. de Alvarado)",
1236,El burrito,Cantos y juegos para el Jardín de niños,Celia Garduño Díaz Chávez,,,LP,Discos Jardín,JLP-2007,,México,s/d,"Lado A: 1. Ritmo...rueda ruedita (C. Calderón), 2. Ritmo...molinito, 3. Rondas de niños
¿En dónde tejemos la ronda? (G. Mistral - J. L. Morales), 4. Zapatero remendón (R. Zapata), 5. La vaca (R. Zapata - M. M. Ponce), 6. Haciendo mantequilla (R. Zapata - M. M. Ponce), 7. El sapo (M. Oropeza - P. G. Padilla), 8. Himno a Hidalgo (M. Michaus), 9. El arroyito (C. González G. - P. G. Padilla), 10. El reloj (R. Zapata - P. Peláez), 11. Panadero (D. Zepeda G. - P. G. Padilla), 12. Las ranitas (C. González G. - P. G. Padilla); Lado B: 1. La maquinita, 2. El burrito (R. Zapata - P. G. Padilla), 3. Enero (L. M. Serradell - C. Calderón), 4. Febrero (L. M. Serradell - C. Calderón C.), 5. Otoño (L. M. Serradell - C. Calderón), 6. Octubre (L. M. Serradell - C. Calderón C.), 7. Invierno (L. M. Serradell - C. Calderón), 8. Diciembre (L. M. Serradell - C. Calderón), 9. Rondas tradicionales infantiles a) Milano b) Amadrus señores c) Campanitas",El fonograma incluye un librito con letras de todas las canciones.
1237,"Canta, canta niño Vol. III",16 Éxitos infantiles 16,"Kristian, Karlamaría, Sandra y Mónica, Amigos de Cornelio, Los Duendecitos Pitukitos, Los amigos de Kitty, Colorín Colorado, La Pandilla Rosa, Cynthia, Raulito, Pulgas, Lupita D´Alessio, Cepillín, Chuchito, Chabelo, La Peggy",,,LP,ORFEÓN,LP-20-TV-003,,México,1982,"Lado A: 1. La niña de al lado (J. Santos), 2. Mis cinco novios (Cook - Canavati), 3. Canta, canta niño (N. Gurvich), 4. Una fantasía hecha diversión (Himno Reino Aventura) (F. Hernández - P. Pérez), 5. Duendecito Pitukito soy (R. Acosta), 6. Hello Kitty (Sue y Javier), 7. Miel con camote (Marcia), 8. La vida color de rosa (P. Ortega - L. Fransen); Lado B: 1. Tohui Panda (L. Gómez Ll. B.), 2. Romántica y enamorada (J. Santos - R. Amado), 3. Somos las pulgas (R. Acosta), 4. Do re mi (Hammerstein - Rodgers), 5. Los pollitos (A.Correa), 6. Mis días de escuela (M. Eduardo), 7. Mamacita, dónde está Santa Claus (Parker - Grenier - Gutiérrez), 8. Dime espejito, dime (J. Nájera - V. Espíndola)",Incluye la letra de las canciones en hoja suelta.
1238,Escuela Alexander Bain,,Maestros y alumnos de la Escuela Alexander Bain,,,LP,POLYGRAM,LPE 38042,,México,1981,"Lado A: 1. La música (A. Hetch), 2. La familia (P. Yamaha), 3. Los números (G. Rincón - V. Rincón), 4. La primavera (A. Lozano), 5. Dance (G. García), 6. Niñas bonitas (A. Durán), 7. Los bomberos (S. Horrasti), 8. La semilla (P. M. de Morales), 9. La gaviota (J. C. Calderón), 10. La farola (D. P.), 11. Los pastores a Belén (D. P.), 12. Sueño imposible (Leigh / Taylor); Lado B: 1. Himno Alexander Bain (Alumnos del Bachillerato), 2. Chant (G. García), 3. El león (A. Kavieus), 4. Doña araña (A. Goldberg), 5. Gusanito medidor (G. Rincón - V. Rincón), 6. Banda Cumberland Square (Música popular alemana), 7. Tomorrow, 8. Soy tu hijo (L. Sawyer), 9. La orquesta (A. Goldberg), 10. Seis lindos patos (S. Horrasti), 11. Morning has broken (C. Stevens), 12. Juan a un charco se cayó (K. Orff - A. Hetch), 13. El golpe (S. Joplin), 14. Flauta de pan (J. C. Borelly), 15. Caracolito (D. P.)",Una producción independiente especial de Polygram Discos para la Escuela Alexander Bain.
1239,15 Éxitos Juegos infantiles,,"Evangelina Elizondo, Yolanda del Campo y Conjunto de Carlos Oropeza",,,LP,ACCIÓN,ACP-128,,México,s/d,"Lado A: 1. Patito, patito, 2. Cantando contamos, 3. Aserrín, aserrán, 4. Acitrón, 5. Así palmadas damos, 6. A la rueda jugaremos, 7. Juan Pirulero, 8. Doña Blanca; Lado B: 1. Matariliriliron, 2. El patio de mi casa, 3. Tengo una muñeca, 4. Naranja dulce, 5. A la rorro niño, 6. A la víbora de la mar, 7. San Serafín","Esta edición incluye un juego. El ejemplar con que se cuenta está incompleto, ya que no se conservaron las fichas  e instrucciones para jugarlo, anunciadas en la portada. En la contraportada aparece impreso un tablero para jugar ""Juguemos a la oca""."
1240,Juegos infantiles,,Evangelina Elizondo y su conjunto,,,LP,ACCIÓN,ACP-102,,México,s/d,"Lado A: 1. El músico (D. P.), 2. La pelota (D. P.), 3. Los dedos (D. P.), 4. Patito patito (D. P.), 5. Las adivinanzas (D. P.), 6. Contando cantamos (D. P.), 7. Aserrín aserrán (D. P.); Lado B: 1. Acitrón (D. P.), 2. Así palmadas damos (D. P.), 3. La máquina (D. P.), 4. A la rueda jugaremos (D. P.), 5. Las horas (D. P.), 6. Mambrú se fue a la guerra (D. P.), 7. Juan Pirulero (D. P.)",Incluye el Juego de la Oca en la contraportada y un volante con las instrucciones para jugar en el interior del disco.
1241,Juegos infantiles,,Evangelina Elizondo y su conjunto,,,LP,ACCIÓN,ACP-102,,México,1963,"Lado A: 1. El músico (D. P.), 2. La pelota (D. P.), 3. Los dedos (D. P.), 4. Patito patito (D. P.), 5. Las adivinanzas (D. P.), 6. Contando cantamos (D. P.), 7. Aserrín aserrán (D. P.); Lado B: 1. Acitrón (D. P.), 2. Así palmadas damos (D. P.), 3. La máquina (D. P.), 4. A la rueda jugaremos (D. P.), 5. Las horas (D. P.), 6. Mambrú se fue a la guerra (D. P.), 7. Juan Pirulero (D. P.)","Incluye en la contraportada el juego ""Pon la cola al burro"". Tiene el mismo contenido que el fonograma 1240."
1242,Canciones y juegos infantiles Vol. 1,,"Martita Guerrero, Gloria Montiel, Conjunto musical ""El Pupi""",,,LP,FM,FM-164,,México,s/d,"Lado A: 1. Juan Pirulero, 2. Los dedos, 3. La pelota, 4. Así palmadas damos, 5. Acitrón; Lado B: 1. Mata-rili-rili-ron, 2. Doña Blanca, 3. Patito patito, 4. Adivinanzas, 5. En el agua clara",
1243,Juegos infantiles,,Evangelina Elizondo y su conjunto,,,LP,ACCIÓN,ACP-102,,México,1965,"Lado A: 1. El músico (D. P.), 2. La pelota (D. P.), 3. Los dedos (D. P.), 4. Patito patito (D. P.), 5. Las adivinanzas (D. P.), 6. Contando cantamos (D. P.), 7. Aserrín aserrán (D. P.); Lado B: 1. Acitrón (D. P.), 2. Así palmadas damos (D. P.), 3. La maquinita (D. P.), 4. A la rueda jugaremos (D. P.), 5. Las horas (D. P.), 6. Mambrú se fue a la guerra (D. P.), 7. Juan Pirulero (D. P.)",Tiene el mismo contenido que los fonogramas 1240 y 1241.
1244,Canciones infantiles,Vol. 2,La rondallita infantil,,"Juan Trinidad, Rosa Trinidad, Cederino Elechiguerra, Josefina Elechiguerra, Sonia Cabrera, Ivonne Suárez, Mauricio Pérez, Salvador Pérez, Gillermina Pérez, Irma García, Carlos García, Raúl Carranza, Carmela Real, Margarita Ortigosa, Arcadio Vargas",LP,CISNE,CI-2049,,México,1977,"Lado A: 1. Martinillo, 2. El pescadito, 3. Las notas, 4. Arroz con leche, 5. Juan Pirulero, 6. La rueda de San Miguel, 7. Pares y nones; Lado B: 1. Doña Blanca, 2. Los perritos, 3. Pin pon, 4. El barquito, 5. Al lobo, 6. El juego del calentamiento, 7. A la rorro niño",Otros créditos en contraportada.
1245,Canciones infantiles,,Tere de Quintanilla,,,LP,Discos LM,LM-535,,México,s/d,"Lado A: 1. Tadeo Pulgón (T. de Quintanilla), 2. Cangregito can can (T. de Quintanilla), 3. Ronda de verano (T. de Quintanilla), 4. El circo (T. de Quintanilla), 5. El reloj (T. de Quintanilla); Lado B: 1. El gato Tenorio (T. de Quintanilla), 2. El burrito andariego (T. de Quintanilla), 3. Canción de Haloween (T. de Quintanilla), 4. El globito pintado de azul (T. de Quintanilla), 5. Chapitas (T. de Quintanilla)",
1248,Canciones infantiles,Chav´s y sus coros Vol. 2,Chav´s y sus coros,,,LP,KOKIN,KO-513,,México,s/d,"Lado A: 1. Historia del astrodito (A. Tapia - A. Peña), 2. El reloj (T. de Quintanilla), 3. Cangrejito Can Can (T. de Quintanilla), 4. Canción de Halloween (T. de Quintanilla), 5. Ronda de verano (T. de Quintanilla); Lado B: 1. Astrodito, astrodito (A. Tapia - A. Peña), 2. El barco chiquito (D. P.), 3. Aserrín aserrán (D. P.), 4. Juan Pirulero (D. P.), 5. De la una a las dos (D. P.)",Tiene el mismo contenido que el fonograma 428.
1249,Canciones para niños de hoy,,s/d,,,LP,Karussell - Polygram,12131,,México,1979,"Lado 1: 1. La gallina Cocoua (I. Bartoli Wilheim / M. Perales), 2. Bajo la lona del circo (T. de la Huerta . J. L. Navarro), 3. Su canción (F. Moreno), 4. El trenecito (A Gorassini - A. Baroncini - M- Perales), 5. El plátano (T. Gylkison - E. Santos); Lado 2: 1. Érase una vez el hombre (M. Perales - L. Perales / R. Trabucchelli - A Serrano), 2. Jacky (C. de Natale - J. Hidalgo - G. & M. Angelis), 3. Chiquitita (B. Andersson - B. Ulvaeus - B. & M. McCluskey), 4. Baila con el hula-hoop (M. Perales - J. L. Perales - R. Trabucchelli), 5. Pippi Calzaslargas (A. Lindgren - J. Johansson / M. de la Calva - R. Arcusa)",
1250,Canciones y juegos infantiles,,"Evangelina Elizondo y su conjunto (D1), Yolanda del Campo y Conjunto de Carlos Oropeza (D2)",,,LP,ACCIÓN,"ACPD-102, ACP-109",,México,1963,"LP 1 Lado A: 1. El músico (D. P.), 2. La pelota (D. P.), 3. Los dedos (D. P.), 4. Patito patito (D. P.), 5. Las adivinanzas (D. P.), 6. Contando cantamos (D. P.), 7. Aserrín aserrán (D. P.); Lado B: 1. Acitrón (D. P.), 2. Así palmadas damos (D. P.), 3. La máquina (D. P.), 4. A la rueda jugaremos (D. P.), 5. Las horas (D. P.), 6. Mambrú se fue a la guerra (D. P.), 7. Juan Pirulero (D. P.); LP 2 Lado A: 1. Doña Blanca (D. P.), 2. Los perritos (D. P.), 3. Matariliriliron (D. P.), 4. En el agua clara (D. P.), 5. El patio de mi casa (D. P.); Lado B: 1. Tengo una muñeca (D. P.), 2. Naranja dulce (D. P.), 3. A la rorro niño (D. P.), 4. A la víbora de la mar (D. P.), 5. San Serafín (D. P.)","Álbum de dos discos. Disco 1, ""Juegos infantiles"" y Disco 2, ""Canciones infantiles"". Incluye el juego ""Pon la cola al burro"" en la contraportada. El contenido es el mismo que los fonogramas 1159 (los dos primeros discos), 1232, 1251 y 1263."
1251,Canciones y juegos infantiles,,"Evangelina Elizondo y su Conjunto (D1), Yolanda del Campo y Conjunto de Carlos Oropeza (D2)",,,LP,ACCIÓN,"DDJ-102, ACP-102, ACP-109",,México,1976,"LP 1 Lado A: 1. El músico (D. P.), 2. La pelota (D. P.), 3. Los dedos (D. P.), 4. Patito patito (D. P.), 5. Adivinanzas (D. P.), 6. Cantando cantamos (D. P.), 7. Aserrín aserrán (D. P.); Lado B: 1. Acitrón (D. P.), 2. Así palmadas damos (D. P.), 3. La máquina (D. P.), 4. A la rueda jugaremos (D. P.), 5. Las horas (D. P.), 6. Mambrú se fue a la guerra (D. P.), 7. Juan Pirulero (D. P.); LP 2 Lado A: 1. Doña Blanca (D. P.), 2. Los perritos (D. P.), 3. Matariliriliron (D. P.), 4. En el agua clara (D. P.), 5. El patio de mi casa (D. P.); Lado B: 1. Tengo una muñeca (D. P.), 2. Naranja dulce (D. P.), 3. A la rorro niño (D. P.), 4. A la víbora de la mar (D. P.), 5. San Serafín (D. P.)","Álbum de dos discos. Disco 1, ""Juegos infantiles"" y Disco 2, ""Canciones infantiles"". El contenido es el mismo que los fonogramas 1159 (los dos primeros discos), 1232, 1250 y 1263. En el marbete tiene el año de 1976 y en la contraportada aparece el año de 1963. Incluye el juego ""Pon la cola al burro"" en la contraportada."
1252,Rondas infantiles,,Luz Bermejo y su coro de niños,,Orquesta de Pedro Mesías,LP,DCM Discos y Cartuchos de México,DM-143,,México,s/d,"Lado A: 1. Naranja dulce, 2. Los diez perritos, 3. La niña María, 4. El ferroviario, 5. Matarilerileron, 6. El pájaro verde; Lado B: 1. Doña Blanca, 2. La viudita, 3. Mambrú, 4. Do re mi, 5. Alicia va en el coche",Arreglos y dirección musical: Pedro Mesías.
1253,15 Éxitos super infantiles,,,,,LP,Super Hit,SD 1504,,México,1982,"Lado A: 1. Baile de los pajaritos (T. Rendall L. / W. Thomas C.), 2. Mimoso Ratón (S. Roche / J. García E.), 3. El Chapulín Colorado (R. Gómez B.), 4. La canción de Parchis (P. Moraleda), 5. Burbujas (S. Roche / J. García E.), 6. ¡Hola amigos! (R. Pérez B.), 7. Si los niños gobernaran el mundo (Kreimermann / A. Luis / Sequeti / Antón); Lado B: 1. El burrito de Belem (H. Blanco), 2. Pecos Bill (Lance / Elliot / Daniel / E. Santos), 3. Pinocho (J. Camilloni / R. Farías C.), 4. Heidi (E. Kashira / T. Watanabe), 5. Polito, Polito (J. C. Abara), 6. Un día con mamá (M. Morales), 7. Fuego (L. E. Colón), 8. Osito panda de Chapultepec (L. Gómez / Llanos B.)","En portada aparece como título ""Super infantilisimo 15 éxitos""."
1254,Cuentos infantiles del Tío Pedrito,,,,,LP,Discos FONY,FY-149,,México,s/d,"Lado A: 1. Travieso (Tío Pedrito), 2. Como juegan los niños (Tío Pedrito), 3. Levántate temprano (Tío Pedrito), 4. A quién debes imitar (Tío Pedrito), 5. No pierdas el tiempo (Tío Pedrito), 6. Regreso a la escuela (Tío Pedrito); Lado B: 1. El primer día de clases (Tío Pedrito), 2. Sé buen compañero (Tío Pedrito), 3. Vamos a hacer la tarea (Tío Pedrito), 4. Las vacaciones (Tío Pedrito), 5. No juegues en la calle (Tío Pedrito), 6. No seas mentiroso (Tío Pedrito), 7. Lávate las manos (Tío Pedrito), 8. Cepíllate los dientes (Tío Pedrito)","En la portada aparece como título ""Canciones infantiles""."
1255,Cantos y juegos para Jardines de niños,,Esther de Manjarrez,,,LP,Columbia,IN 102,,México,s/d,"Lado 1: 1. Traviesos conejitos (E. Zavaleta de M. - L. A. Loria P.), 2. Saludo (L. M. Serradell - C. Calderón), 3. Ardillita (L. M. Serradell - C. Calderón); Lado 2: 1. Duerme (L. M. Serradell), 2. Los pollitos (R. Zapata - P. Peláez), 3. Amapolitas (L. M. Serradell - C. Calderón)",En contraportada figuran las letras de las canciones.
1256,Canciones infantiles,,Chav´s y sus coros,,,LP,CLADRIJO,CAJR-7735,,México,s/d,"Lado A: 1. Mambrú (D. P.), 2. En el agua clara (D. P.), 3. Las vocales (D. P.), 4. Los diez perritos (D. P.), 5. Los pollitos (D. P.); Lado B: 1. Duérmete mi niño (D. P.), 2. Cuánto me das marinero (D. P.), 3. Los elefantes (D. P.), 4. La rana (D. P.), 5. La pájara pinta (D. P.)",Tiene el mismo contenido que el fonograma 1661.
1257,"Coral infantil ""La corchea""",,,,,LP,Ariola,ML-5010,,México,1977,"Lado A: 1. La tarara, 2. Quisiera ser tan alta, 3. Vamos a contar mentiras, 4. Antón Pirulero, 5. El patio de mi casa, 6. El cocherito, 7. La viudita del Conde Laurel; Lado B: 1. Que llueva, que llueva, 2. Tengo una muñeca, 3. Mambrú se fue a la guerra, 4. ¿Dónde vas Alfonso XII?, 5. La flauta de Bartolo, 6. Dónde están las llaves, 7. Una tarde fresquita de mayo",Es posible que el fonograma se haya producido en España y se haya hecho esta versión para México.
1258,Canciones infantiles,,Yolanda del Campo y Conjunto de Carlos Oropeza,,,LP,CORITO INFANTIL,CI-109,,México,s/d,"Lado A: 1. Doña Blanca (D. P.), 2. Los perritos (D. P.), 3. Matariliriliron (D. P.), 4. En el agua clara (D. P.), 5. El patio de mi casa (D. P.); Lado B: 1. Tengo una muñeca (D. P.), 2. Naranja dulce (D. P.), 3. A la rorro niño (D. P.), 4. A la víbora de la mar (D. P.), 5. San Serafín (D. P.)",
1259,Rondas infantiles,,Luz Bermejo y su coro de niños,,,LP,Discóbolo,DB-30027,,México,s/d,"Lado A: 1. Naranja dulce, 2. Los diez perritos, 3. La niña María, 4. El ferroviario, 5. Matarile rile ron, 6. El pájaro verde; Lado B: 1. Doña Blanca, 2. La viudita, 3. Mambrú, 4. Do re mi, 5. Alicia va en el coche","Arreglos de José Perea y Enrique Méndez, excepto El ferroviario (Guillermo Bermejo) y Do re mi (D. A. R.)."
